startYear,startMonth,startDay,startTime,endYear,endMonth,endDay,endTime,displayDate,headline,text,mediaUrl,mediaCredit,mediaCaption,mediaThumbail,type,group,backgroundUrl,backgroundColor
,,,,,,,,,La juventud en la política,"<p>Esta cronología recogerá a varios de los políticos más jóvenes de España, y su pequeña historia.</p>",,,,,title,,,
1992,,,,2021,,,,,Andrea Fernández,<p>Es la diputada del PSOE en el Congreso. Tiene 27 años y es una de las representantes de la España vaciada. Estudió Derecho y trabajó como abogada mientras colaboraba con el partido socialista.</p>,https://cdn.businessinsider.es/sites/navi.axelspringer.es/public/styles/950/public/media/image/2019/12/andrea-fernandez.jpg?itok=IaaOxHmU,,,,,,,
1993,,,,2021,,,,,José Ángel Alonso,<p>Tiene 26 años y es el alcalde más joven de Castilla y León. Estudió Derecho y en la última legislatura ejerció de senador del PP.</p>,https://youtu.be/DpV5pY_ruBE,,,,,,,
1992,,,,2021,,,,,Manuel Mariscal,<p>Nació en el 1992 y antes de entrar en VOX trabajó en el PP. Estudió periodismo y un máster en Comunicación. Actualmente trabaja como coordinador y vicesecretario del departamento de Comunicación de VOX.</p>,https://www.voxespana.es/wp-content/uploads/2020/05/manuel-mariscal-1.jpg,,,,,,,
1993,,,,2021,,,,,Lucía Muñoz,"<p>Lucía Muñoz, natural de Mallorca, es diputada de Unidas Podemos en el Congreso. Estudió Ciencias Políticas y posteriormente realizó un máster en Cooperación Internacional. Tiene como uno de sus objetivos el representar a la juventud, a las mujeres y al 15-M.</p>",https://imagenes.20minutos.es/files/article_amp/uploads/imagenes/2021/04/21/la-diputada-de-unidas-podemos-por-baleares-lucia-munoz.jpeg,,,,,,https://static.eldiario.es/clip/ffda532f-17fa-4916-871b-f503fe3e54ea_16-9-aspect-ratio_default_0.jpg,
1996,,,,2021,,,,,Marta Rosique,<p>Es la diputada más joven de la historia del Congreso y está vinculada a Esquerra Republicana. A sus 23 años es graduada en Periodismo por la universidad Pompeu Fabra y actualmente estudia Ciencias Políticas y de la Administración. Fue miembro del Parlamento Europeo de Jóvenes.</p>,https://youtu.be/NtrEOG2rfk0,,,,,,,
1993,,,,2021,,,,,María Teresa Pérez ,"<p>Es diputada de Unidas Podemos desde el año 2019. Su objetivo siempre: defender el femenismo. Antes de entrar al mundo de la política estudió periodismo, pero finalmente se decidió por el bando político.</p>",https://imagenes.elpais.com/resizer/VpDYHm2-zAENML7_T6G37fmccWQ=/1960x0/arc-anglerfish-eu-central-1-prod-prisa.s3.amazonaws.com/public/RMUAQ2VGFY55ZC3WBNPYWB33TA.jpg,,,,,,,
1995,,,,2021,,,,,Manuel Hernández,"<p>Entró en el mundo de la política porque quería luchar contra la despoblación en los pueblos. Es parte de Ciudadanos, pero, sin embargo, no quiere dedicarse a la política, ya que, él se dedica a la ingeniería civil y territorial.</p>",,,,,,,,
